,"Ship FY
",Grand Total,Grand Total,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
SAV Account,Product ID,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value
OK-STATE OF OKLAHOMA,ACS-2821-51-STAN,33,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,VS-F6K-PFC3C,2,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,ASR1004-PWR-AC,4,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
OK-STATE OF OKLAHOMA,UCSS-UWL-PRO-PK,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,SF15454-R9.1.0K9,5,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,S3750EVT-12246SE,2,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,LIC-UWL-STD1,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,ACS-2811-STAN,2,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,AIR-CAP3502I-ABULK,27,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,UCSS-UWL-STD-PK,2,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
